iters,time
757,4.887580871582031e-05
758,4.887580871582031e-05
759,4.887580871582031e-05
760,4.9114227294921875e-05
761,4.935264587402344e-05
762,4.982948303222656e-05
763,4.982948303222656e-05
764,4.982948303222656e-05
765,4.982948303222656e-05
766,5.0067901611328125e-05
767,5.0067901611328125e-05
768,5.0067901611328125e-05
769,5.0067901611328125e-05
770,5.0067901611328125e-05
771,5.030632019042969e-05
772,5.030632019042969e-05
773,5.030632019042969e-05
774,5.030632019042969e-05
775,5.030632019042969e-05
776,5.054473876953125e-05
777,5.054473876953125e-05
778,5.054473876953125e-05
779,5.054473876953125e-05
780,5.054473876953125e-05
781,5.078315734863281e-05
782,5.078315734863281e-05
783,5.078315734863281e-05
784,5.078315734863281e-05
785,5.078315734863281e-05
786,5.1021575927734375e-05
787,5.1021575927734375e-05
788,5.1021575927734375e-05
789,5.1021575927734375e-05
790,5.1021575927734375e-05
791,5.125999450683594e-05
792,5.125999450683594e-05
793,5.125999450683594e-05
794,5.125999450683594e-05
795,5.125999450683594e-05
796,5.14984130859375e-05
797,5.14984130859375e-05
798,5.14984130859375e-05
799,5.14984130859375e-05
800,5.173683166503906e-05
801,5.173683166503906e-05
802,5.173683166503906e-05
803,5.173683166503906e-05
804,5.173683166503906e-05
805,5.1975250244140625e-05
806,5.1975250244140625e-05
807,5.1975250244140625e-05
808,5.1975250244140625e-05
809,5.1975250244140625e-05
810,5.221366882324219e-05
811,5.221366882324219e-05
812,5.221366882324219e-05
813,5.221366882324219e-05
814,5.221366882324219e-05
815,5.245208740234375e-05
816,5.245208740234375e-05
817,5.245208740234375e-05
818,5.245208740234375e-05
819,5.245208740234375e-05
820,5.269050598144531e-05
821,5.269050598144531e-05
822,5.269050598144531e-05
823,5.3882598876953125e-05
824,5.3882598876953125e-05
825,5.412101745605469e-05
826,5.412101745605469e-05
827,5.412101745605469e-05
828,5.412101745605469e-05
829,5.435943603515625e-05
830,5.435943603515625e-05
831,5.435943603515625e-05
832,5.435943603515625e-05
833,5.435943603515625e-05
834,5.459785461425781e-05
835,5.459785461425781e-05
836,5.459785461425781e-05
837,5.459785461425781e-05
838,5.4836273193359375e-05
839,5.4836273193359375e-05
840,5.4836273193359375e-05
841,5.4836273193359375e-05
842,5.4836273193359375e-05
843,5.507469177246094e-05
844,5.507469177246094e-05
845,5.507469177246094e-05
846,5.507469177246094e-05
847,5.507469177246094e-05
848,5.53131103515625e-05
849,5.53131103515625e-05
850,5.53131103515625e-05
851,5.53131103515625e-05
852,5.53131103515625e-05
853,5.555152893066406e-05
854,5.555152893066406e-05
855,5.555152893066406e-05
856,5.555152893066406e-05
857,5.555152893066406e-05
858,5.5789947509765625e-05
859,5.5789947509765625e-05
860,5.5789947509765625e-05
861,5.602836608886719e-05
862,5.602836608886719e-05
863,5.602836608886719e-05
864,5.602836608886719e-05
865,5.626678466796875e-05
866,5.626678466796875e-05
867,5.626678466796875e-05
868,5.626678466796875e-05
869,5.626678466796875e-05
870,5.650520324707031e-05
871,5.650520324707031e-05
872,5.650520324707031e-05
873,5.650520324707031e-05
874,5.650520324707031e-05
875,5.698204040527344e-05
876,5.698204040527344e-05
877,5.698204040527344e-05
878,5.698204040527344e-05
879,5.7220458984375e-05
880,5.7220458984375e-05
881,5.7220458984375e-05
882,5.7220458984375e-05
883,5.7220458984375e-05
884,5.745887756347656e-05
885,5.745887756347656e-05
886,5.745887756347656e-05
887,5.745887756347656e-05
888,5.745887756347656e-05
889,5.7697296142578125e-05
890,5.7697296142578125e-05
891,5.7697296142578125e-05
892,5.7697296142578125e-05
893,5.7697296142578125e-05
894,5.793571472167969e-05
895,5.793571472167969e-05
896,5.793571472167969e-05
897,5.793571472167969e-05
898,5.793571472167969e-05
899,5.817413330078125e-05
900,5.817413330078125e-05
901,5.817413330078125e-05
902,5.817413330078125e-05
903,5.817413330078125e-05
904,5.841255187988281e-05
905,5.841255187988281e-05
906,5.841255187988281e-05
907,5.841255187988281e-05
908,5.91278076171875e-05
909,5.91278076171875e-05
910,5.936622619628906e-05
911,5.936622619628906e-05
912,5.936622619628906e-05
913,5.936622619628906e-05
914,5.9604644775390625e-05
915,5.9604644775390625e-05
916,5.9604644775390625e-05
917,5.9604644775390625e-05
918,5.9604644775390625e-05
919,5.984306335449219e-05
920,5.984306335449219e-05
921,5.984306335449219e-05
922,5.984306335449219e-05
923,5.984306335449219e-05
924,6.031990051269531e-05
925,6.031990051269531e-05
926,6.031990051269531e-05
927,6.031990051269531e-05
928,6.0558319091796875e-05
929,6.0558319091796875e-05
930,6.0558319091796875e-05
931,6.0558319091796875e-05
932,6.0558319091796875e-05
933,6.079673767089844e-05
934,6.079673767089844e-05
935,6.079673767089844e-05
936,6.079673767089844e-05
937,6.079673767089844e-05
938,6.103515625e-05
939,6.103515625e-05
940,6.103515625e-05
941,6.103515625e-05
942,6.103515625e-05
943,6.127357482910156e-05
944,6.127357482910156e-05
945,6.127357482910156e-05
946,6.127357482910156e-05
947,6.127357482910156e-05
948,6.151199340820312e-05
949,6.151199340820312e-05
950,6.151199340820312e-05
951,6.151199340820312e-05
952,6.175041198730469e-05
953,6.175041198730469e-05
954,6.175041198730469e-05
955,6.175041198730469e-05
956,6.175041198730469e-05
957,6.198883056640625e-05
958,6.198883056640625e-05
959,6.198883056640625e-05
960,6.222724914550781e-05
961,6.222724914550781e-05
962,6.222724914550781e-05
963,6.222724914550781e-05
964,6.246566772460938e-05
965,6.246566772460938e-05
966,6.246566772460938e-05
967,6.246566772460938e-05
968,6.270408630371094e-05
969,6.270408630371094e-05
970,6.270408630371094e-05
971,6.270408630371094e-05
972,6.270408630371094e-05
973,6.29425048828125e-05
974,6.29425048828125e-05
975,6.29425048828125e-05
976,6.318092346191406e-05
977,6.318092346191406e-05
978,6.318092346191406e-05
979,6.318092346191406e-05
980,6.318092346191406e-05
981,6.341934204101562e-05
982,6.341934204101562e-05
983,6.341934204101562e-05
984,6.341934204101562e-05
985,6.389617919921875e-05
986,6.389617919921875e-05
987,6.389617919921875e-05
988,6.389617919921875e-05
989,6.389617919921875e-05
990,6.413459777832031e-05
991,6.413459777832031e-05
992,6.413459777832031e-05
993,6.413459777832031e-05
994,6.4849853515625e-05
995,6.4849853515625e-05
996,6.508827209472656e-05
997,6.508827209472656e-05
998,6.508827209472656e-05
999,6.508827209472656e-05
1000,6.532669067382812e-05
1001,6.532669067382812e-05
1002,6.532669067382812e-05
1003,6.532669067382812e-05
1004,6.556510925292969e-05
1005,6.556510925292969e-05
1006,6.556510925292969e-05
1007,6.556510925292969e-05
1008,6.556510925292969e-05
1009,6.580352783203125e-05
1010,6.580352783203125e-05
1011,6.580352783203125e-05
1012,6.580352783203125e-05
1013,6.604194641113281e-05
1014,6.604194641113281e-05
1015,6.604194641113281e-05
1016,6.604194641113281e-05
1017,6.604194641113281e-05
1018,6.628036499023438e-05
1019,6.628036499023438e-05
1020,6.628036499023438e-05
1021,6.628036499023438e-05
1022,6.651878356933594e-05
1023,6.651878356933594e-05
1024,6.651878356933594e-05
1025,6.651878356933594e-05
1026,6.651878356933594e-05
1027,6.67572021484375e-05
1028,6.67572021484375e-05
1029,6.67572021484375e-05
1030,6.67572021484375e-05
1031,6.67572021484375e-05
1032,6.723403930664062e-05
1033,6.723403930664062e-05
1034,6.723403930664062e-05
1035,6.723403930664062e-05
1036,6.747245788574219e-05
1037,6.747245788574219e-05
1038,6.747245788574219e-05
1039,6.747245788574219e-05
1040,6.747245788574219e-05
1041,6.771087646484375e-05
1042,6.771087646484375e-05
1043,6.771087646484375e-05
